Council,Value,Type
Environment Canterbury Regional Council,Lyell Creek SH1 ,Site
Environment Canterbury Regional Council,Lyell Creek Mill Road ,Site
Environment Canterbury Regional Council,Okarahia stream SH1 ,Site
Environment Canterbury Regional Council,Waipara River Laidmore Rd ,Site
Environment Canterbury Regional Council,Taranaki Creek Preeces Rd ,Site
Environment Canterbury Regional Council,Warren Creek Rorrisons Road,Site
Environment Canterbury Regional Council,Pahau River Dalzell's Bridge,Site
Environment Canterbury Regional Council,Dry Stream Above Hurunui Conf. NW of Pylons ,Site
Environment Canterbury Regional Council,Lee River Bridge on Brooklands Farm ,Site
Environment Canterbury Regional Council,Waikewai Creek Gullivers Rd,Site
Environment Canterbury Regional Council,Middle Creek Beach Rd ,Site
Environment Canterbury Regional Council,Te Wharau Stream Charteris Bay Road,Site
Environment Canterbury Regional Council,Hawkins River Deans Road ,Site
Environment Canterbury Regional Council,Living Springs Stream Governors Bay-Teddington Rd,Site
Environment Canterbury Regional Council,Saltwater Creek Factory Rd ,Site
Environment Canterbury Regional Council,Waiau River Leslie Hills Road,Site
Environment Canterbury Regional Council,Waiau River at Waiau,Site
Environment Canterbury Regional Council,Waiau River SH1,Site
Environment Canterbury Regional Council,Conway River SH1 ,Site
Environment Canterbury Regional Council,Waitohi River 1.6km Upstream Hurunui Confluence,Site
Environment Canterbury Regional Council,St Leonards Drain Dalzells Farm,Site
Environment Canterbury Regional Council,Mason River SH70 ,Site
Environment Canterbury Regional Council,Zephyr Stream Above Governors Bay Rd,Site
Environment Canterbury Regional Council,North Brook Upstream side of Bridge Marsh Rd ,Site
Environment Canterbury Regional Council,Cam River Marsh Rd bridge,Site
Environment Canterbury Regional Council,Ashburton River Above mouth via north bank,Site
Environment Canterbury Regional Council,Twizel River - Lower Below Black Stilt Station,Site
Environment Canterbury Regional Council,Wainui Stream upstream from Wainui Main Rd Bridge,Site
Environment Canterbury Regional Council,Takamatua Stream Above Highway Bridge ,Site
Environment Canterbury Regional Council,Kahutara River Dairy Farm Rd,Site
Environment Canterbury Regional Council,Blue Duck Creek Above SH1,Site
Environment Canterbury Regional Council,Hapuku River SH1,Site
Environment Canterbury Regional Council,"Barrys Bay Stream, Barrys Bay Valley Rd",Site
Environment Canterbury Regional Council,Pawsons Stream Pawsons Valley Road,Site
Environment Canterbury Regional Council,Purau Stream Above Main Road Bridge,Site
Environment Canterbury Regional Council,Teddington Stream Blatchford property,Site
Environment Canterbury Regional Council,Quailburn Quailburn Road,Site
Environment Canterbury Regional Council,Clarence River over Jacks Pass,Site
Environment Canterbury Regional Council,Heathcote River at Catherine St,Site
Environment Canterbury Regional Council,Orari River Gorge,Site
Environment Canterbury Regional Council,Pareora River SH1,Site
Environment Canterbury Regional Council,Tekapo River Steel Bridge,Site
Environment Canterbury Regional Council,Waikakahi Stream Cock & Hen Road,Site
Environment Canterbury Regional Council,Parakanoi Drain Lower Beach Road,Site
Environment Canterbury Regional Council,Hurunui River at at SH7,Site
Environment Canterbury Regional Council,Hinds River Lower Beach Road,Site
Environment Canterbury Regional Council,Clarence River above river mouth,Site
Environment Canterbury Regional Council,Otekaieke River Special School Road,Site
Environment Canterbury Regional Council,Mandamus River Tekoa Road,Site
Environment Canterbury Regional Council,South Ashburton River Quarry Road,Site
Environment Canterbury Regional Council,Gentleman Smith Stream Hakatere-Heron Road,Site
Environment Canterbury Regional Council,Lambies Stream Ashburton Gorge Road,Site
Environment Canterbury Regional Council,Ahuriri River Ben Omar,Site
Environment Canterbury Regional Council,pH (Lab),Measurement
Environment Canterbury Regional Council,Dissolved Reactive Phosphorus,Measurement
Environment Canterbury Regional Council,Total Phosphorus,Measurement
Environment Canterbury Regional Council,Total Nitrogen,Measurement
Environment Canterbury Regional Council,Ammoniacal Nitrogen,Measurement
Environment Canterbury Regional Council,Total Oxidised Nitrogen,Measurement
Environment Canterbury Regional Council,Black Disc Clarity,Measurement
Environment Canterbury Regional Council,Turbidity (Lab),Measurement
Environment Canterbury Regional Council,E. coli,Measurement
Environment Canterbury Regional Council,Water Temperature (X),Measurement
Environment Canterbury Regional Council,Site Waikakahi Stream Cock & Hen Road has no measurements,Measurement
Environment Canterbury Regional Council,WQ Sample,Measurement
